x,y,z
[-2.27669927 -2.35398429  8.33934554],n-fold
[-2.52874976 -2.41291161  8.53577802],"Aruco, [8]"
x,y,z
[-2.27173946 -2.35122922  8.32438015],n-fold
[-2.54811472 -2.43354974  8.59863171],"Aruco, [8]"
x,y,z
[-2.5529284  -2.43676883  8.61086662],"Aruco, [8]"
x,y,z
[-2.27483122 -2.34541021  8.31339405],n-fold
[-2.55375953 -2.4304761   8.59795587],"Aruco, [8]"
x,y,z
[-2.27402259 -2.34240758  8.30564028],n-fold
[-2.56068372 -2.43568045  8.62220756],"Aruco, [8]"
x,y,z
[-2.2767691  -2.34288209  8.32286554],n-fold
[-2.58488526 -2.45503804  8.70550709],"Aruco, [8]"
x,y,z
[-2.27739962 -2.34601001  8.33613602],n-fold
[-2.58531146 -2.45952886  8.72197224],"Aruco, [8]"
x,y,z
[-2.27107499 -2.34387516  8.33305148],n-fold
[-2.54937912 -2.42884765  8.62131582],"Aruco, [8]"
x,y,z
[-2.26734996 -2.33978639  8.32282939],n-fold
[-2.4294433  -2.31454957  8.21453228],"Aruco, [8]"
x,y,z
[-2.26465879 -2.3369513   8.30767981],n-fold
[-2.47852762 -2.36208205  8.37578163],"Aruco, [8]"
x,y,z
[-2.26841632 -2.34527584  8.32673278],n-fold
[-2.50074525 -2.38746118  8.45576555],"Aruco, [8]"
x,y,z
[-2.26554883 -2.34575708  8.31167631],n-fold
[-2.57418521 -2.46055846  8.69669783],"Aruco, [8]"
x,y,z
[-2.26845381 -2.36000452  8.33251208],n-fold
[-2.57143803 -2.46952358  8.69734609],"Aruco, [8]"
x,y,z
[-2.26734273 -2.37118579  8.34048183],n-fold
[-2.54376613 -2.45804757  8.62194124],"Aruco, [8]"
x,y,z
[-2.26625359 -2.38033863  8.34273295],n-fold
[-2.53629681 -2.46228381  8.60298957],"Aruco, [8]"
x,y,z
[-2.27455025 -2.39707374  8.35807365],n-fold
[-2.54670155 -2.47977863  8.62085821],"Aruco, [8]"
x,y,z
[-2.27299094 -2.41591505  8.37262211],n-fold
[-2.55565135 -2.51164456  8.67589015],"Aruco, [8]"
x,y,z
[-2.25778413 -2.41720365  8.34391584],n-fold
[-2.57552633 -2.54733285  8.76942641],"Aruco, [8]"
x,y,z
[-2.26740711 -2.43795609  8.37269361],n-fold
[-2.55926462 -2.54299795  8.70322379],"Aruco, [8]"
x,y,z
[-2.27782357 -2.46199772  8.41282983],n-fold
[-2.55289045 -2.55270225  8.69218121],"Aruco, [8]"
x,y,z
[-2.23090206 -2.42041785  8.2529755 ],n-fold
[-2.4657993  -2.46974686  8.39304389],"Aruco, [8]"
x,y,z
[-2.25874434 -2.44699958  8.31007339],n-fold
[-2.51936302 -2.52121625  8.53246822],"Aruco, [8]"
x,y,z
[-2.264285   -2.4668189   8.34142195],n-fold
[-2.65413837 -2.67204256  9.00502967],"Aruco, [8]"
x,y,z
[-2.53930693 -2.58407481  8.65457666],"Aruco, [8]"
x,y,z
x,y,z
[-2.25906155 -2.50679949  8.38194179],n-fold
[-2.49351812 -2.55922113  8.52284564],"Aruco, [8]"
x,y,z
[-2.24464826 -2.49954014  8.34280391],n-fold
[-2.52675933 -2.60099473  8.6472301 ],"Aruco, [8]"
x,y,z
[-2.24384419 -2.49396936  8.31256922],n-fold
[-2.52623709 -2.5934918   8.61834439],"Aruco, [8]"
x,y,z
[-2.2493114  -2.48606351  8.31347734],n-fold
[-2.55772976 -2.6108884   8.69965606],"Aruco, [8]"
x,y,z
[-2.24748807 -2.48432841  8.31011672],n-fold
[-2.59362113 -2.64902444  8.8296746 ],"Aruco, [8]"
x,y,z
[-2.24099249 -2.47236457  8.28457747],n-fold
[-2.50852778 -2.55715158  8.53730773],"Aruco, [8]"
x,y,z
[-2.24387277 -2.47243094  8.30581106],n-fold
[-2.49351332 -2.53639874  8.49973184],"Aruco, [8]"
x,y,z
[-2.23920555 -2.46790389  8.30157085],n-fold
[-2.52595941 -2.56931665  8.61950963],"Aruco, [8]"
x,y,z
[-2.23025785 -2.45120229  8.2815905 ],n-fold
[-2.50079322 -2.53373143  8.54184103],"Aruco, [8]"
x,y,z
[-2.21937776 -2.43177023  8.27084772],n-fold
[-2.53883797 -2.56438299  8.69897344],"Aruco, [8]"
x,y,z
[-2.21403686 -2.42225389  8.27037054],n-fold
[-2.47825245 -2.49927405  8.51942089],"Aruco, [8]"
x,y,z
[-2.19344168 -2.39118287  8.20900018],n-fold
[-2.45033185 -2.45816038  8.42864982],"Aruco, [8]"
x,y,z
x,y,z
[-2.05002053 -2.22095015  8.08004314],n-fold
[-2.33089919 -2.30297955  8.39082077],"Aruco, [8]"
x,y,z
[-2.4464773  -2.37393527  8.7639054 ],"Aruco, [8]"
x,y,z
[-2.30573847 -2.2101549   8.19949652],"Aruco, [8]"
x,y,z
[-2.30547729 -2.17612564  8.14569054],"Aruco, [8]"
x,y,z
x,y,z
[-2.40925991 -2.0472574   7.98360546],"Aruco, [8]"
x,y,z
x,y,z
x,y,z
x,y,z
[-2.85035754 -2.30699974  8.00046993],"Aruco, [8]"
x,y,z
[-2.7290261  -2.17915681  7.69457718],"Aruco, [8]"
x,y,z
[-2.8198852  -2.40064492  8.03465989],n-fold
[-2.99669875 -2.29763942  8.20021976],"Aruco, [8]"
x,y,z
x,y,z
x,y,z
[-3.1313908  -2.30076315  7.64033543],"Aruco, [8]"
x,y,z
x,y,z
[-3.13393955 -2.03488056  7.09598219],"Aruco, [8]"
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
[-3.07829713 -0.63513279  6.3385388 ],"Aruco, [8]"
x,y,z
[-3.09321069 -0.59677374  6.38267134],"Aruco, [8]"
x,y,z
[-3.14992713 -0.61508743  6.52459148],"Aruco, [8]"
x,y,z
[-3.07629063 -0.62335468  6.44032525],"Aruco, [8]"
x,y,z
[-3.09620184 -0.67018192  6.48597919],"Aruco, [8]"
x,y,z
[-3.01864272 -0.6961592   6.30489617],"Aruco, [8]"
x,y,z
[-3.03619375 -0.743812    6.37618977],"Aruco, [8]"
x,y,z
x,y,z
[-2.92728021 -0.77747311  6.29758832],"Aruco, [8]"
x,y,z
[-2.95743277 -0.8288577   6.47615498],"Aruco, [8]"
x,y,z
[-3.11774679 -1.07946843  6.76868924],n-fold
[-3.04048441 -0.91060157  6.73927282],"Aruco, [8]"
x,y,z
[-3.12405665 -1.13888901  6.86244871],n-fold
[-3.08470059 -0.97245422  6.89178849],"Aruco, [8]"
x,y,z
[-3.12588569 -1.18200525  6.92314076],n-fold
[-3.1338362  -1.02322913  7.03460157],"Aruco, [8]"
x,y,z
[-3.1360701  -1.21508314  6.94839937],n-fold
[-3.1608256  -1.05396706  7.06899201],"Aruco, [8]"
x,y,z
[-3.16876308 -1.09288077  7.09785305],"Aruco, [8]"
x,y,z
[-3.12791095 -1.12813127  7.03659447],"Aruco, [8]"
x,y,z
[-3.16348954 -1.203009    7.10963888],"Aruco, [8]"
x,y,z
[-3.09324099 -1.2413159   6.94504407],"Aruco, [8]"
x,y,z
[-3.18968357 -1.35004261  7.12646257],"Aruco, [8]"
x,y,z
[-3.25369272 -1.44363304  7.23549413],"Aruco, [8]"
x,y,z
[-3.31254682 -1.53434029  7.33780018],"Aruco, [8]"
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
[-3.37465991 -2.04924459  7.57362984],"Aruco, [8]"
x,y,z
[-3.28730336 -2.29372165  7.7286307 ],n-fold
[-3.382407   -2.13076892  7.64680644],"Aruco, [8]"
x,y,z
[-3.26149093 -2.13354949  7.4803694 ],"Aruco, [8]"
x,y,z
[-3.23155236 -2.41949028  7.85519349],n-fold
