x,y,z
1,[-0.07296883  0.09148163  1.97407755],n-fold
1,[-0.25769156  0.09179024  2.0085334 ],"Aruco, [8]"
x,y,z
2,[-0.07223093  0.09114043  1.96936228],n-fold
2,[-0.25661866  0.09067193  1.99781884],"Aruco, [8]"
x,y,z
3,[-0.25650744  0.09195983  1.99917098],"Aruco, [8]"
x,y,z
4,[-0.0720221   0.09258573  1.9687579 ],n-fold
4,[-0.25822853  0.09301951  2.01512197],"Aruco, [8]"
x,y,z
5,[-0.25700587  0.0922928   2.01251779],"Aruco, [8]"
x,y,z
6,[-0.25445788  0.09027469  2.00188328],"Aruco, [8]"
x,y,z
7,[-0.25678442  0.09158698  2.03050773],"Aruco, [8]"
x,y,z
8,[-0.06821481  0.09020728  1.97022337],n-fold
8,[-0.25041108  0.08923689  1.98803326],"Aruco, [8]"
x,y,z
9,[-0.06673048  0.08686931  1.97906728],n-fold
9,[-0.24913655  0.08495995  1.98773305],"Aruco, [8]"
x,y,z
10,[-0.06669194  0.08305606  1.97572673],n-fold
10,[-0.25058707  0.08140588  2.00382875],"Aruco, [8]"
x,y,z
11,[-0.06937692  0.07908817  1.97507336],n-fold
11,[-0.25261473  0.07721236  1.99843048],"Aruco, [8]"
x,y,z
12,[-0.07147638  0.07432455  1.97397617],n-fold
12,[-0.25722653  0.07320955  2.01341479],"Aruco, [8]"
x,y,z
13,[-0.07263943  0.06998462  1.97328187],n-fold
13,[-0.25858736  0.06887787  2.0119619 ],"Aruco, [8]"
x,y,z
14,[-0.07573002  0.06518859  1.97252576],n-fold
14,[-0.26157818  0.06351009  2.00670944],"Aruco, [8]"
x,y,z
15,[-0.07841595  0.06079804  1.97701908],n-fold
15,[-0.2644715   0.05887663  2.01508489],"Aruco, [8]"
x,y,z
16,[-0.08116982  0.0538602   1.97315877],n-fold
16,[-0.26825121  0.05186014  2.01606726],"Aruco, [8]"
x,y,z
17,[-0.08490314  0.04871571  1.97560759],n-fold
17,[-0.27193945  0.04696625  2.01626251],"Aruco, [8]"
x,y,z
18,[-0.08758072  0.0404444   1.97361929],n-fold
18,[-0.27385847  0.0382359   2.01057811],"Aruco, [8]"
x,y,z
19,[-0.09143639  0.03012292  1.9760912 ],n-fold
19,[-0.2787713   0.02772066  2.02220768],"Aruco, [8]"
x,y,z
20,[-0.09325659  0.01930333  1.97462366],n-fold
20,[-0.28050633  0.01691579  2.01727053],"Aruco, [8]"
x,y,z
21,[-0.09670928  0.00844489  1.97733219],n-fold
21,[-0.28407563  0.00525915  2.0193678 ],"Aruco, [8]"
x,y,z
22,[-0.09959375 -0.00324421  1.97540305],n-fold
22,[-0.286157   -0.00667517  2.01071218],"Aruco, [8]"
x,y,z
23,[-0.10127054 -0.01548116  1.9792355 ],n-fold
23,[-0.28870526 -0.01927914  2.02268064],"Aruco, [8]"
x,y,z
24,[-0.10369491 -0.02953102  1.97396791],n-fold
24,[-0.29202632 -0.03362533  2.02051805],"Aruco, [8]"
x,y,z
25,[-0.29250363 -0.05030339  1.99788468],"Aruco, [8]"
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
46,[-0.55840959 -0.20032714  1.96035907],"Aruco, [8]"
x,y,z
47,[-0.34641352 -0.14900918  1.93769414],n-fold
47,[-0.53167888 -0.14424168  1.93003189],"Aruco, [8]"
x,y,z
