x,y,z
[-1.14382504 -2.14856769  4.27397066],"Aruco, [0]"
[-1.9338712  -2.26217156  4.5623738 ],"Aruco, [3]"
[-1.28700181 -1.20622473  4.73585607],"Aruco, [1]"
[-1.63274846 -1.78283069  4.67076853],"Aruco, [2]"
[-2.08130322 -1.27947348  4.89878866],"Aruco, [8]"
x,y,z
[-1.1686479  -2.13600068  4.34825906],"Aruco, [0]"
[-1.98034193 -2.27029163  4.67369527],"Aruco, [3]"
[-1.27968284 -1.14891107  4.71344496],"Aruco, [1]"
[-1.66438878 -1.77022683  4.76888789],"Aruco, [2]"
[-2.09913125 -1.23787106  4.9426847 ],"Aruco, [8]"
x,y,z
[-1.931639   -1.22878891  4.97926761],n-fold
[-1.12388625 -1.15752964  4.80833625],n-fold
[-1.83394552 -2.29844507  4.72386287],n-fold
[-1.00165542 -2.14604139  4.37876745],n-fold
[-1.21677952 -2.20810423  4.50914577],"Aruco, [0]"
[-2.07067155 -2.35735334  4.86672458],"Aruco, [3]"
[-1.32848675 -1.17796159  4.862395  ],"Aruco, [1]"
[-1.71202672 -1.80622304  4.88498231],"Aruco, [2]"
[-2.19375737 -1.27651245  5.13738474],"Aruco, [8]"
x,y,z
[-1.11039742 -1.1437953   4.75814498],n-fold
[-1.92478094 -1.22057871  4.95827211],n-fold
[-1.48549672 -1.75770966  4.77304892],n-fold
[-0.99780116 -2.14113834  4.36955924],n-fold
[-1.82035895 -2.27872809  4.68375234],n-fold
[-1.20919876 -2.19652919  4.48630612],"Aruco, [0]"
[-2.05476765 -2.33586543  4.82204953],"Aruco, [3]"
[-1.69381962 -1.78475286  4.83152983],"Aruco, [2]"
[-1.33055988 -1.18002416  4.87367351],"Aruco, [1]"
[-2.16987641 -1.25820511  5.07400343],"Aruco, [8]"
x,y,z
x,y,z
x,y,z
x,y,z
[-1.89975682 -1.88140697  4.68730779],"Aruco, [2]"
[-1.53834837 -1.27355683  4.68932491],"Aruco, [1]"
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
x,y,z
[-1.87723556 -1.06347241  4.45041477],"Aruco, [1]"
x,y,z
[-2.18182227 -2.21174583  4.76415789],"Aruco, [0]"
x,y,z
[-1.7168753  -0.85882508  4.32812758],"Aruco, [1]"
x,y,z
[-1.74200377 -0.81856752  4.53106046],"Aruco, [1]"
[-2.03312903 -2.05703981  4.7786522 ],"Aruco, [0]"
x,y,z
[-1.73994417 -1.99239934  4.71158475],n-fold
[-2.14164939 -1.28314338  4.5012376 ],"Aruco, [2]"
[-1.66059114 -0.742274    4.45840061],"Aruco, [1]"
[-1.98598334 -2.02517592  4.85051122],"Aruco, [0]"
x,y,z
[-1.86992721 -1.24474896  4.43530756],n-fold
[-1.61099194 -0.68344776  4.44114826],"Aruco, [1]"
[-2.09081455 -1.24005201  4.50847489],"Aruco, [2]"
[-1.92232626 -1.96979418  4.85112237],"Aruco, [0]"
x,y,z
[-2.01814254 -0.52212524  4.17771207],n-fold
[-1.83777534 -1.20912847  4.44755057],n-fold
[-1.38497319 -0.65810336  4.39318214],n-fold
[-1.64934967 -1.9056728   4.75287552],n-fold
[-1.55807536 -0.62869396  4.37357365],"Aruco, [1]"
[-2.0258461  -1.18758651  4.45012188],"Aruco, [2]"
[-1.86592344 -1.91580445  4.83117915],"Aruco, [0]"
x,y,z
[-1.62001018 -1.87537946  4.76669557],n-fold
[-1.99779425 -0.49550926  4.16781517],n-fold
[-1.81280077 -1.17944983  4.44768129],n-fold
[-1.35626545 -0.61541791  4.35742303],n-fold
[-1.52912447 -0.58913556  4.33702547],"Aruco, [1]"
[-1.99553326 -1.15731416  4.43668431],"Aruco, [2]"
[-1.81498605 -1.86439104  4.78357401],"Aruco, [0]"
x,y,z
[-1.59422497 -1.85121716  4.7808647 ],n-fold
[-1.79059813 -1.15663552  4.45438524],n-fold
[-1.33104421 -0.5837916   4.33844087],n-fold
[-1.51981427 -0.56541003  4.36992744],"Aruco, [1]"
[-1.9895922  -1.14537202  4.48140589],"Aruco, [2]"
