x,y,z
[-0.97991881 -0.87155647  4.28952341],n-fold
[-1.78135216 -0.94126914  4.4630986 ],n-fold
[-1.71264578 -2.03929158  4.29687284],n-fold
[-1.11201222 -1.98248949  4.1452634 ],"Aruco, [0]"
[-1.20062985 -0.90475991  4.41079385],"Aruco, [1]"
[-1.95503615 -2.10264169  4.45547321],"Aruco, [3]"
[-1.61200004 -1.56090907  4.51097591],"Aruco, [2]"
[-2.04374275 -0.98470173  4.62080448],"Aruco, [8]"
x,y,z
[-1.78609571 -0.94536575  4.47195701],n-fold
[-1.37099274 -1.50410358  4.35765673],n-fold
[-0.97608826 -0.86935843  4.27435694],n-fold
[-0.88599424 -1.90254582  3.96982372],n-fold
[-1.11423206 -1.98567275  4.14831422],"Aruco, [0]"
[-1.18903187 -0.89666942  4.36318131],"Aruco, [1]"
[-1.96430148 -2.11284374  4.47428161],"Aruco, [3]"
[-1.60475516 -1.55499254  4.48613162],"Aruco, [2]"
[-2.02223985 -0.97606509  4.57296386],"Aruco, [8]"
x,y,z
[-1.09419839 -1.94511341  4.06188522],"Aruco, [0]"
[-1.20539882 -0.91125528  4.41871713],"Aruco, [1]"
[-1.93696923 -2.08232533  4.41029126],"Aruco, [3]"
[-1.57524724 -1.52721376  4.40027346],"Aruco, [2]"
[-2.01237952 -0.97309789  4.54789211],"Aruco, [8]"
x,y,z
[-1.36713983 -1.50172499  4.34854442],n-fold
[-0.97523687 -0.87170749  4.27778803],n-fold
[-1.77951038 -0.94096926  4.46096715],n-fold
[-1.10135857 -1.96227917  4.09634349],"Aruco, [0]"
[-1.19889956 -0.90709742  4.4087775 ],"Aruco, [1]"
[-1.93405611 -2.07968798  4.40533989],"Aruco, [3]"
[-1.58124764 -1.53338168  4.42247126],"Aruco, [2]"
[-2.01707493 -0.97212178  4.56313487],"Aruco, [8]"
x,y,z
[-1.36779152 -1.50101528  4.358504  ],n-fold
[-0.9753014  -0.86972841  4.28524717],n-fold
[-1.77721906 -0.93723092  4.46197215],n-fold
[-1.0902019  -1.93969796  4.05981204],"Aruco, [0]"
[-1.18894067 -0.89662306  4.37573607],"Aruco, [1]"
[-1.92300246 -2.06622188  4.3864251 ],"Aruco, [3]"
