Bin,Mean_X,Mean_Y,Mean_Z,STD_X,STD_Y,STD_Z,experiment_005
1.0-2.0,1.190150,-0.223609,-0.030379,0.020421,0.192616,0.014464
2.0-3.0,0.554197,-0.364470,-0.011334,0.108540,0.088900,0.030417
3.0-4.0,0.641665,-0.312847,-0.006683,0.237283,0.164138,0.049125
4.0-5.0,0.665677,-0.308003,-0.031371,0.462939,0.317254,0.051737
5.0-6.0,0.616098,-0.195903,-0.035119,0.626425,0.372188,0.034972
