7,[ 0.63976782 -0.16837104  2.61621802],[ 2.66708632  0.40623709 -0.46130924],"Aruco, [1]"
7,[-0.04186806  0.02593759  2.67757941],[ 2.66708632  0.40623709 -0.46130924],"Aruco, [2]"
7,[-0.68605987  0.23748211  2.68242358],[ 2.66708632  0.40623709 -0.46130924],"Aruco, [3]"
7,[0.43658579 0.54814087 2.71386529],[ 2.66708632  0.40623709 -0.46130924],"Aruco, [8]"
8,[-0.41735019 -0.6596499   2.53119022],[-3.01410467 -0.43184604  0.08838079],n-fold
8,[0.49649311 0.35669255 2.66442267],[-3.01410467 -0.43184604  0.08838079],n-fold
8,[ 0.69401082 -0.34646252  2.55243409],[-3.01410467 -0.43184604  0.08838079],n-fold
8,[ 0.02160032 -0.15639454  2.62687219],[-3.01410467 -0.43184604  0.08838079],n-fold
8,[-0.61528771  0.05148436  2.62979401],[-3.01410467 -0.43184604  0.08838079],n-fold
8,[-0.46977163 -0.48719125  2.57682911],[-3.01410467 -0.43184604  0.08838079],"Aruco, [0]"
8,[ 0.64898239 -0.17231971  2.6076621 ],[-3.01410467 -0.43184604  0.08838079],"Aruco, [1]"
8,[-0.03056711  0.01952888  2.66624205],[-3.01410467 -0.43184604  0.08838079],"Aruco, [2]"
8,[-0.66974457  0.2297299   2.6646817 ],[-3.01410467 -0.43184604  0.08838079],"Aruco, [3]"
8,[0.44712297 0.54239325 2.70276188],[-3.01410467 -0.43184604  0.08838079],"Aruco, [8]"
9,[0.5049614  0.35039282 2.6574069 ],[-3.03708565 -0.44041878  0.10332437],n-fold
9,[-0.40846564 -0.66505697  2.52723006],[-3.03708565 -0.44041878  0.10332437],n-fold
9,[ 0.03021683 -0.16228781  2.62177002],[-3.03708565 -0.44041878  0.10332437],n-fold
9,[ 0.70444682 -0.35285502  2.55063385],[-3.03708565 -0.44041878  0.10332437],n-fold
9,[-0.60689879  0.0458142   2.63167764],[-3.03708565 -0.44041878  0.10332437],n-fold
9,[-0.46439142 -0.49610746  2.59009309],[-3.03708565 -0.44041878  0.10332437],"Aruco, [0]"
9,[ 0.65515236 -0.17791415  2.58395642],[-3.03708565 -0.44041878  0.10332437],"Aruco, [1]"
9,[-0.02194242  0.01453046  2.64859522],[-3.03708565 -0.44041878  0.10332437],"Aruco, [2]"
9,[-0.66270262  0.2245741   2.67516281],[-3.03708565 -0.44041878  0.10332437],"Aruco, [3]"
9,[0.45724104 0.53724991 2.70436341],[-3.03708565 -0.44041878  0.10332437],"Aruco, [8]"
10,[0.51724011 0.34685934 2.65207761],[-3.02440315 -0.42699581  0.15298361],n-fold
10,[ 0.04324896 -0.16615403  2.62268707],[-3.02440315 -0.42699581  0.15298361],n-fold
10,[-0.44843554 -0.49780573  2.57969614],[-3.02440315 -0.42699581  0.15298361],"Aruco, [0]"
10,[ 0.66980107 -0.18109968  2.59074156],[-3.02440315 -0.42699581  0.15298361],"Aruco, [1]"
10,[-0.00915632  0.01090473  2.66666696],[-3.02440315 -0.42699581  0.15298361],"Aruco, [2]"
10,[-0.65367496  0.22105327  2.69643677],[-3.02440315 -0.42699581  0.15298361],"Aruco, [3]"
10,[0.46933504 0.53330701 2.70085542],[-3.02440315 -0.42699581  0.15298361],"Aruco, [8]"
11,[ 0.05885718 -0.17132103  2.61790832],[ 3.23871044  0.44207808 -0.17514919],n-fold
11,[-0.37964573 -0.67385528  2.52837172],[ 3.23871044  0.44207808 -0.17514919],n-fold
11,[0.53300334 0.34104438 2.64297078],[ 3.23871044  0.44207808 -0.17514919],n-fold
11,[-0.57936279  0.03549678  2.64744203],[ 3.23871044  0.44207808 -0.17514919],n-fold
11,[ 0.68105682 -0.18521697  2.56581182],[ 3.23871044  0.44207808 -0.17514919],"Aruco, [1]"
11,[-0.43046556 -0.49938186  2.56555004],[ 3.23871044  0.44207808 -0.17514919],"Aruco, [0]"
11,[0.00611293 0.00505389 2.62309854],[ 3.23871044  0.44207808 -0.17514919],"Aruco, [2]"
11,[-0.6299138   0.21290364  2.67281515],[ 3.23871044  0.44207808 -0.17514919],"Aruco, [3]"
11,[0.48367744 0.52488193 2.68016233],[ 3.23871044  0.44207808 -0.17514919],"Aruco, [8]"
12,[-0.36431656 -0.6787283   2.52242449],[-2.90046951 -0.40565397 -0.28880055],n-fold
12,[-0.5642855   0.02978061  2.6478113 ],[-2.90046951 -0.40565397 -0.28880055],n-fold
12,[ 0.68690182 -0.18911024  2.52098566],[-2.90046951 -0.40565397 -0.28880055],"Aruco, [1]"
12,[-0.41589326 -0.50557548  2.56193388],[-2.90046951 -0.40565397 -0.28880055],"Aruco, [0]"
12,[ 2.15200128e-02 -2.53300168e-03  2.60757800e+00],[-2.90046951 -0.40565397 -0.28880055],"Aruco, [2]"
12,[0.48577872 0.50497132 2.59727747],[-2.90046951 -0.40565397 -0.28880055],"Aruco, [8]"
12,[-0.61285282  0.20643565  2.66612913],[-2.90046951 -0.40565397 -0.28880055],"Aruco, [3]"
13,[-0.34879792 -0.6825553   2.519027  ],[-2.8819916  -0.39878216 -0.20306231],n-fold
13,[ 0.09074268 -0.18093164  2.59572871],[-2.8819916  -0.39878216 -0.20306231],n-fold
13,[0.56924773 0.33149431 2.6330536 ],[-2.8819916  -0.39878216 -0.20306231],n-fold
13,[-0.547595    0.02628684  2.64994042],[-2.8819916  -0.39878216 -0.20306231],n-fold
13,[-0.39805228 -0.50804989  2.55703502],[-2.8819916  -0.39878216 -0.20306231],"Aruco, [0]"
13,[ 0.03880118 -0.00494251  2.61601327],[-2.8819916  -0.39878216 -0.20306231],"Aruco, [2]"
13,[0.5051298  0.501159   2.59311495],[-2.8819916  -0.39878216 -0.20306231],"Aruco, [8]"
13,[-0.59486336  0.20229719  2.66296955],[-2.8819916  -0.39878216 -0.20306231],"Aruco, [3]"
14,[-0.33766891 -0.68617602  2.51320463],[-2.97196233 -0.40161185 -0.09410035],n-fold
14,[-0.53401764  0.02246429  2.65206355],[-2.97196233 -0.40161185 -0.09410035],n-fold
14,[ 0.10461695 -0.18630654  2.57794746],[-2.97196233 -0.40161185 -0.09410035],n-fold
14,[-0.38819826 -0.51336011  2.55671918],[-2.97196233 -0.40161185 -0.09410035],"Aruco, [0]"
14,[ 0.05314773 -0.01081479  2.60031124],[-2.97196233 -0.40161185 -0.09410035],"Aruco, [2]"
14,[0.52385863 0.4942692  2.58561687],[-2.97196233 -0.40161185 -0.09410035],"Aruco, [8]"
