Format Version,1.23,Take Name,experiment_006,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 01.50.50.841 ,Capture Start Frame,3455167,Total Frames in Take,9049,Total Exported Frames,9049,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
0,0.000000,0.588823,0.221492,0.040037,2.763623,1.977681,-2.855538,-0.055294,0.471202,91.570847,3.156885,1.708104,2.417654
1,0.004000,0.604144,0.203643,0.038840,2.763623,1.977696,-2.855540,-1.462008,0.834908,93.752060,3.156550,1.707840,2.418264
2,0.008000,0.606579,0.203642,0.035342,2.763624,1.977690,-2.855541,-2.028741,0.821846,93.875305,3.156611,1.707839,2.418168
3,0.013000,0.608974,0.182230,0.031424,2.763616,1.977689,-2.855532,-2.031209,0.809961,93.858101,3.156631,1.707883,2.418106
4,0.017000,0.616688,0.194306,0.036543,2.763620,1.977675,-2.855521,-1.996601,0.810901,93.870659,3.156605,1.707891,2.418146
5,0.021000,0.655667,0.182317,0.038854,2.763619,1.977673,-2.855509,-2.044499,0.740346,93.855843,3.156632,1.707916,2.418054
6,0.025000,0.626285,0.190480,0.032325,2.763622,1.977669,-2.855528,-2.089478,0.797951,93.890686,3.156617,1.707873,2.418057
7,0.029000,0.655326,0.196712,0.037740,2.763618,1.977678,-2.855520,-2.118828,0.693510,93.766357,3.156696,1.708036,2.417761
8,0.033000,0.608562,0.205642,0.040268,2.763622,1.977681,-2.855544,-2.181960,0.612204,93.865547,3.156796,1.708105,2.417883
9,0.038000,0.600690,0.216785,0.042692,2.763614,1.977694,-2.855539,-2.185893,0.545287,93.982292,3.156946,1.708072,2.417991
10,0.042000,0.599889,0.223781,0.040783,2.763615,1.977699,-2.855544,-2.229146,0.520242,93.832924,3.156928,1.708190,2.417631
11,0.046000,0.635496,0.223207,0.038132,2.763644,1.977728,-2.855548,-2.315392,0.558143,93.876175,3.156844,1.708204,2.417659
12,0.050000,0.618985,0.214690,0.039103,2.763624,1.977700,-2.855540,-2.399700,0.676047,93.909538,3.156716,1.708073,2.417665
