Format Version,1.23,Take Name,experiment_005,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 01.49.57.954 ,Capture Start Frame,3442474,Total Frames in Take,11569,Total Exported Frames,11569,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
35,0.146000,0.622655,0.203248,0.043060,2.763604,1.977728,-2.855482,-1.094474,1.229980,91.010414,2.572424,1.745988,-0.640830
36,0.150000,0.627428,0.204713,0.037302,2.763597,1.977725,-2.855473,-1.173672,1.212357,90.988602,2.572413,1.745922,-0.640874
37,0.154000,0.646930,0.212544,0.046165,2.763594,1.977717,-2.855479,-1.246053,1.222222,90.985924,2.572407,1.745832,-0.640923
38,0.158000,0.618219,0.203879,0.044263,2.763601,1.977721,-2.855494,-1.272991,1.233153,90.971375,2.572415,1.745742,-0.640966
39,0.163000,0.615583,0.209793,0.041922,2.763597,1.977715,-2.855488,-1.353409,1.225189,90.952713,2.572435,1.745648,-0.641026
40,0.167000,0.604058,0.196823,0.036529,2.763596,1.977712,-2.855492,-1.443563,1.232216,90.924652,2.572444,1.745513,-0.641116
41,0.171000,0.619813,0.188913,0.025494,2.763594,1.977721,-2.855491,-1.486425,1.231298,90.950882,2.572425,1.745418,-0.641087
42,0.175000,0.630885,0.188430,0.035460,2.763604,1.977720,-2.855487,-1.579762,1.193832,90.942032,2.572401,1.745310,-0.641139
43,0.179000,0.633697,0.199823,0.040181,2.763602,1.977711,-2.855480,-1.664449,1.192429,90.928802,2.572435,1.745234,-0.641222
44,0.183000,0.637523,0.199350,0.045210,2.763605,1.977713,-2.855484,-1.740368,1.198428,90.901268,2.572436,1.745081,-0.641297
45,0.188000,0.649215,0.204344,0.053644,2.763595,1.977715,-2.855471,-1.742286,1.251887,90.875275,2.572420,1.744835,-0.641381
46,0.192000,0.633552,0.199147,0.045299,2.763594,1.977723,-2.855473,-1.833689,1.177762,90.877846,2.572495,1.744876,-0.641452
47,0.196000,0.648260,0.211697,0.052527,2.763600,1.977733,-2.855487,-1.905543,1.136973,90.810883,2.572622,1.744838,-0.641613
48,0.200000,0.616337,0.210468,0.039869,2.763611,1.977730,-2.855495,-1.948603,1.186443,90.774086,2.572611,1.744649,-0.641697
49,0.204000,0.652089,0.214246,0.043644,2.763602,1.977722,-2.855482,-1.977555,1.215051,90.815186,2.572611,1.744491,-0.641685
50,0.208000,0.624671,0.204490,0.041603,2.763600,1.977713,-2.855487,-2.089760,1.202264,90.808777,2.572591,1.744396,-0.641717
51,0.213000,0.649585,0.203336,0.042517,2.763592,1.977709,-2.855481,-2.167533,1.151648,90.773880,2.572613,1.744355,-0.641782
52,0.217000,0.637658,0.207709,0.041399,2.763592,1.977708,-2.855487,-2.207160,1.145401,90.741295,2.572679,1.744302,-0.641851
53,0.221000,0.620865,0.202519,0.040101,2.763591,1.977704,-2.855492,-2.293570,1.112545,90.721603,2.572705,1.744232,-0.641891
