Format Version,1.23,Take Name,experiment_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 12.05.58.852 ,Capture Start Frame,1945107,Total Frames in Take,12046,Total Exported Frames,12046,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
0,0.000000,0.436168,0.158264,0.002490,2.764044,1.977385,-2.855973,-3.575062,-4.534752,67.832512,2.120274,1.645955,-1.090376
1,0.004000,0.428962,0.158041,0.009935,2.764044,1.977368,-2.855977,-4.297782,-4.563413,68.334152,2.120215,1.645804,-1.089645
2,0.008000,0.439220,0.161031,0.008775,2.764048,1.977365,-2.855972,-4.230339,-4.423441,68.206573,2.120382,1.645697,-1.089295
3,0.013000,0.439402,0.166747,0.003254,2.764057,1.977379,-2.855972,-4.244954,-4.338089,68.056473,2.120653,1.645776,-1.088978
4,0.017000,0.419477,0.150211,-0.000428,2.764048,1.977382,-2.855962,-4.311418,-4.324414,67.951561,2.120821,1.645881,-1.088665
5,0.021000,0.432137,0.144266,-0.006674,2.764045,1.977384,-2.855970,-4.325620,-4.285882,67.821487,2.120969,1.646004,-1.088347
6,0.025000,0.440862,0.157990,0.003448,2.764037,1.977371,-2.855960,-4.312953,-4.302221,67.629684,2.121106,1.646174,-1.088047
7,0.029000,0.454651,0.158269,0.001794,2.764038,1.977371,-2.855958,-4.321230,-4.298696,67.502663,2.121216,1.646442,-1.087721
8,0.033000,0.442319,0.155450,0.004012,2.764039,1.977361,-2.855966,-4.288393,-4.245594,67.406563,2.121352,1.646611,-1.087397
9,0.038000,0.447009,0.138187,0.002112,2.764039,1.977376,-2.855971,-4.218283,-4.133965,67.342079,2.121437,1.646824,-1.087002
10,0.042000,0.439086,0.149906,-0.001187,2.764036,1.977375,-2.855966,-4.346558,-4.150433,67.195938,2.121642,1.646963,-1.086771
11,0.046000,0.424658,0.164962,0.006034,2.764051,1.977383,-2.855972,-4.477017,-4.171951,66.979385,2.121875,1.647124,-1.086587
12,0.050000,0.446867,0.183422,0.004323,2.764051,1.977394,-2.855978,-4.368754,-4.168877,66.754845,2.122048,1.647350,-1.086298
