Format Version,1.23,Take Name,experiment_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 12.08.45.730 ,Capture Start Frame,1985157,Total Frames in Take,9435,Total Exported Frames,9435,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
0,0.000000,0.455681,0.183750,0.009883,2.764017,1.977452,-2.855991,-1.845854,2.971772,78.833229,3.047067,1.707737,-0.831987
1,0.004000,0.476179,0.174510,0.009906,2.764008,1.977454,-2.855981,-1.861293,3.066388,79.309273,3.046780,1.707600,-0.831464
2,0.008000,0.466471,0.176429,0.010313,2.764014,1.977445,-2.855977,-1.913314,3.074132,79.271156,3.046766,1.707599,-0.831395
3,0.013000,0.458027,0.171055,0.013352,2.764017,1.977442,-2.855985,-1.910729,3.085234,79.244423,3.046746,1.707599,-0.831354
4,0.017000,0.444575,0.176583,0.010630,2.764019,1.977442,-2.855987,-1.894061,3.073318,79.229393,3.046709,1.707597,-0.831315
5,0.021000,0.442267,0.192727,0.014920,2.764011,1.977438,-2.855994,-1.883580,3.064097,79.209740,3.046649,1.707628,-0.831276
6,0.025000,0.461098,0.162571,0.017610,2.764017,1.977448,-2.855992,-1.858667,3.049242,79.179321,3.046613,1.707673,-0.831250
7,0.029000,0.448376,0.181865,0.012397,2.764013,1.977444,-2.855989,-1.845194,3.066204,79.178810,3.046581,1.707670,-0.831170
8,0.033000,0.436613,0.191785,0.011337,2.764007,1.977450,-2.855985,-1.834814,3.050291,79.166267,3.046529,1.707726,-0.831116
9,0.038000,0.445298,0.177568,0.016157,2.764017,1.977460,-2.855969,-1.859938,3.027523,79.137184,3.046491,1.707739,-0.831084
10,0.042000,0.457898,0.175379,0.009711,2.764023,1.977453,-2.855978,-1.860502,2.988681,79.116753,3.046425,1.707825,-0.831046
11,0.046000,0.432498,0.195923,0.012162,2.764031,1.977461,-2.855984,-1.853116,2.970258,79.091957,3.046359,1.707839,-0.830986
12,0.050000,0.432977,0.200684,0.018399,2.764024,1.977461,-2.855983,-1.862826,2.976974,79.080139,3.046289,1.707827,-0.830946
