Format Version,1.23,Take Name,experiment_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 12.07.29.315 ,Capture Start Frame,1966818,Total Frames in Take,12622,Total Exported Frames,12622,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
0,0.000000,0.490123,0.199582,0.013653,2.764037,1.977364,-2.855906,45.380936,-78.347229,14.370503,2.167799,1.033837,-1.005668
1,0.004000,0.507317,0.207405,0.014437,2.764043,1.977369,-2.855901,43.439377,-78.846252,16.226818,2.168642,1.035329,-1.006208
2,0.008000,0.552485,0.200323,0.032537,2.764029,1.977389,-2.855904,43.435303,-78.624458,16.272255,2.169440,1.036701,-1.006668
3,0.013000,0.542712,0.195142,0.019749,2.764037,1.977385,-2.855907,44.686005,-78.646187,15.086328,2.170599,1.038655,-1.007411
4,0.017000,0.501137,0.195822,0.014589,2.764028,1.977349,-2.855905,42.043488,-78.455345,17.740513,2.171076,1.040636,-1.008358
5,0.021000,0.473292,0.207699,0.010248,2.764040,1.977354,-2.855909,41.998764,-78.617645,17.939707,2.171872,1.042770,-1.009156
6,0.025000,0.487290,0.206117,0.006588,2.764032,1.977358,-2.855912,41.823151,-78.652710,18.251904,2.172126,1.044557,-1.010247
7,0.029000,0.503527,0.201857,0.008385,2.764032,1.977350,-2.855911,40.901207,-78.585350,19.261374,2.172760,1.046024,-1.010935
8,0.033000,0.494384,0.210568,0.014554,2.764038,1.977361,-2.855908,40.639206,-78.405609,19.686352,2.173706,1.048230,-1.011576
9,0.038000,0.510730,0.187130,0.010432,2.764023,1.977362,-2.855902,39.318363,-78.696800,20.955650,2.174574,1.050620,-1.012413
10,0.042000,0.538237,0.218935,0.023536,2.764022,1.977391,-2.855902,38.144215,-78.268997,22.119493,2.175517,1.053126,-1.013485
11,0.046000,0.533904,0.202949,0.025898,2.764020,1.977371,-2.855900,37.284855,-78.151314,23.054052,2.176760,1.055577,-1.014190
12,0.050000,0.493071,0.226896,0.022846,2.764026,1.977352,-2.855906,37.153366,-78.250290,23.373665,2.178034,1.058399,-1.014958
